ItemId,ItemName,SellPrice,DownloadFile,Thumbnail,SubscriberFree,Active,dateadded
448,Supplement to Irish Knits Cardigans,10.00,cardigan_suppliment.pdf,supplement_thumbnail.png,0,0,2012-06-25 00:00:00.000
458,Supplement to Irish Knits Cardigans,10.00,cardigan_suppliment1.pdf,supplement_thumbnail1.png,0,0,2012-07-23 00:00:00.000
346,Swan Socks (The Ultimate MK Socks),29.95,ultimate_socks.pdf,swan_sock_cover_thumg2.jpg,0,0,2011-01-06 00:00:00.000
441,Tam and Scarf with G-Carriage,18.95,Irish_knit_tam.pdf,cover_image1.jpg,0,0,2012-06-20 00:00:00.000
710,The ULTIMATE Machine Knit Socks (eBook),29.99,electronic_version10-19-16_electronic.pdf,sock_product_image_PDF.jpg,0,1,2016-10-09 00:00:00.000
680,The Ultimate Pleated Skirt eBook,12.50,Ultimate_Pleated_skirt_optimized.pdf,PleatedSkirtBook1.jpg,0,1,2015-08-04 00:00:00.000
528,Top Down for Toddlers (machine knitting notes),5.00,Top Down for Toddlers for Machine Knitters1.pdf,white_paper.jpg,0,0,2013-08-26 00:00:00.000
482,Top Down Raglan - Bulky - Round Neck - Babies and Kids,18.95,Bulky_round_baby.pdf,cover_Bulky_round_babies_kids.png,0,0,2013-01-12 00:00:00.000
486,Top Down Raglan - Bulky - Round Neck - Grownups,18.95,bulky_round_adults1.pdf,cover_bulky_round_adults.png,0,0,2013-01-21 00:00:00.000
484,Top Down Raglan - Bulky - V Neck - Adults,18.95,top_down_v_adults.pdf,cover_Bulky_v_adult.png,0,0,2013-01-16 00:00:00.000
487,Top Down Raglan - Bulky - V Neck - Youngsters,18.95,bulky_v_younsters.pdf,cover_Bulky_V_Babies1.png,0,0,2013-01-21 00:00:00.000
425,Top Down Raglan - Standard - Round Neck - for Everyone,18.95,top_down_round_everyone.pdf,cover_standard_round_everyone.png,0,0,2012-04-26 00:00:00.000
483,Top Down Raglan - Standard - V Neck - for Everyone,18.95,v_neck_standard_all.pdf,cover_Standard_V_All.png,0,0,2013-01-15 00:00:00.000
457,Traditional Irish Cardigans with G-Carriage,32.95,irish_cardigan2.pdf,irish_cardigan_thumbnail1.png,0,0,2012-07-23 00:00:00.000
444,Traditional Irish Cardigans with G-Carriage,32.95,irish_cardigan1.pdf,irish_cardigan_thumbnail.png,0,0,2012-06-25 00:00:00.000
446,Traditional Irish Knits with G-Carriage (Pullovers),32.95,Irish_pullover.pdf,irish_pullover_thumbnail.png,0,0,2012-06-25 00:00:00.000
506,Tuck Lace Stitch Pattern Template,1.00,NULL,NULL,1,0,2013-04-20 00:00:00.000
682,Ultimate Pleated Skirt DAK files,10.00,Skirt_DAK_Files3.zip,files_thumbnail2.jpg,0,1,2015-08-13 00:00:00.000
777,Universal Link (Cable) for DesignaKnit,135.95,NULL,slusb_cable.jpg,0,0,2019-05-02 00:00:00.000
